system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.1801,0.1620,0.2006,5
emb:all-MiniLM-L6-v2+logreg,2,0.2177,0.2066,0.2306,5
emb:all-MiniLM-L6-v2+logreg,3,0.2193,0.1989,0.2397,5
emb:all-MiniLM-L6-v2+logreg,5,0.2673,0.2473,0.2810,5
emb:all-MiniLM-L6-v2+logreg,10,0.3074,0.3007,0.3187,5
emb:all-MiniLM-L6-v2+logreg,20,0.3407,0.3385,0.3425,5
emb:all-MiniLM-L6-v2+logreg,50,0.3719,0.3572,0.3875,5
emb:all-MiniLM-L6-v2+logreg,100,0.3685,0.3536,0.3843,5
emb:all-MiniLM-L6-v2+logreg,all,0.6111,0.6108,0.6113,4
hv_expert_logreg,1,0.2370,0.1552,0.3249,5
hv_expert_logreg,2,0.3452,0.2576,0.4101,5
hv_expert_logreg,3,0.3777,0.3067,0.4278,5
hv_expert_logreg,5,0.4011,0.2958,0.4642,5
hv_expert_logreg,10,0.4512,0.4255,0.4709,5
hv_expert_logreg,20,0.4886,0.4595,0.5092,5
hv_expert_logreg,50,0.4908,0.4864,0.4948,5
hv_expert_logreg,100,0.5009,0.4946,0.5064,5
hv_expert_logreg,all,0.6139,0.6133,0.6152,4
hv_expert_rf,1,0.3138,0.2233,0.4042,5
hv_expert_rf,2,0.3575,0.2829,0.4287,5
hv_expert_rf,3,0.4019,0.3706,0.4276,5
hv_expert_rf,5,0.4064,0.3505,0.4434,5
hv_expert_rf,10,0.4631,0.4412,0.4887,5
hv_expert_rf,20,0.4900,0.4653,0.5094,5
hv_expert_rf,50,0.5040,0.4946,0.5154,5
hv_expert_rf,100,0.5230,0.5199,0.5262,5
hv_expert_rf,all,0.6361,0.6338,0.6387,4
hv_prior_fixed,1,0.3202,0.3202,0.3202,5
hv_prior_fixed,2,0.3202,0.3202,0.3202,5
hv_prior_fixed,3,0.3202,0.3202,0.3202,5
hv_prior_fixed,5,0.3202,0.3202,0.3202,5
hv_prior_fixed,10,0.3202,0.3202,0.3202,5
hv_prior_fixed,20,0.3202,0.3202,0.3202,5
hv_prior_fixed,50,0.3202,0.3202,0.3202,5
hv_prior_fixed,100,0.3202,0.3202,0.3202,5
hv_prior_fixed,all,0.3202,0.3202,0.3202,4
hv_prior_reweight,1,0.3431,0.2792,0.4077,5
hv_prior_reweight,2,0.3647,0.2523,0.4544,5
hv_prior_reweight,3,0.3500,0.2373,0.4405,5
hv_prior_reweight,5,0.4150,0.3136,0.4824,5
hv_prior_reweight,10,0.4799,0.4321,0.5173,5
hv_prior_reweight,20,0.4858,0.4397,0.5148,5
hv_prior_reweight,50,0.5170,0.5114,0.5230,5
hv_prior_reweight,100,0.5142,0.5061,0.5227,5
hv_prior_reweight,all,0.5938,0.5938,0.5938,4
tfidf_char+logreg,1,0.1323,0.1133,0.1489,5
tfidf_char+logreg,2,0.1474,0.1259,0.1688,5
tfidf_char+logreg,3,0.1709,0.1516,0.1915,5
tfidf_char+logreg,5,0.1995,0.1738,0.2282,5
tfidf_char+logreg,10,0.2370,0.2187,0.2490,5
tfidf_char+logreg,20,0.2797,0.2626,0.2973,5
tfidf_char+logreg,50,0.3378,0.3205,0.3551,5
tfidf_char+logreg,100,0.3864,0.3708,0.4020,5
tfidf_char+logreg,all,0.6616,0.6611,0.6622,5
tfidf_word+char+logreg,1,0.1371,0.1120,0.1622,5
tfidf_word+char+logreg,2,0.1375,0.1167,0.1572,5
tfidf_word+char+logreg,3,0.1640,0.1524,0.1751,5
tfidf_word+char+logreg,5,0.1956,0.1697,0.2219,5
tfidf_word+char+logreg,10,0.2322,0.2114,0.2482,5
tfidf_word+char+logreg,20,0.2683,0.2477,0.2933,5
tfidf_word+char+logreg,50,0.3372,0.3205,0.3546,5
tfidf_word+char+logreg,100,0.3876,0.3705,0.4047,5
tfidf_word+char+logreg,all,0.6743,0.6740,0.6747,4
tfidf_word+logreg,1,0.1466,0.1066,0.1907,5
tfidf_word+logreg,2,0.1458,0.1271,0.1652,5
tfidf_word+logreg,3,0.1539,0.1449,0.1659,5
tfidf_word+logreg,5,0.1841,0.1607,0.2075,5
tfidf_word+logreg,10,0.2138,0.1940,0.2301,5
tfidf_word+logreg,20,0.2500,0.2248,0.2769,5
tfidf_word+logreg,50,0.3032,0.2832,0.3250,5
tfidf_word+logreg,100,0.3474,0.3251,0.3667,5
tfidf_word+logreg,all,0.6348,0.6345,0.6351,5
zeroshot_nli,1,0.3192,0.3192,0.3192,5
zeroshot_nli,2,0.3192,0.3192,0.3192,5
zeroshot_nli,3,0.3192,0.3192,0.3192,5
zeroshot_nli,5,0.3192,0.3192,0.3192,5
zeroshot_nli,10,0.3192,0.3192,0.3192,5
zeroshot_nli,20,0.3192,0.3192,0.3192,5
zeroshot_nli,50,0.3192,0.3192,0.3192,5
zeroshot_nli,100,0.3192,0.3192,0.3192,5
zeroshot_nli,all,0.3192,0.3192,0.3192,4
