system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.1349,0.1222,0.1477,5
emb:all-MiniLM-L6-v2+logreg,2,0.1640,0.1528,0.1712,5
emb:all-MiniLM-L6-v2+logreg,3,0.1679,0.1576,0.1795,5
emb:all-MiniLM-L6-v2+logreg,5,0.2023,0.1849,0.2215,5
emb:all-MiniLM-L6-v2+logreg,10,0.2322,0.2195,0.2416,5
emb:all-MiniLM-L6-v2+logreg,20,0.2576,0.2503,0.2627,5
emb:all-MiniLM-L6-v2+logreg,50,0.2909,0.2777,0.3028,5
emb:all-MiniLM-L6-v2+logreg,100,0.2865,0.2730,0.3011,5
emb:all-MiniLM-L6-v2+logreg,all,0.4774,0.4774,0.4775,4
hv_expert_logreg,1,0.1874,0.1338,0.2435,5
hv_expert_logreg,2,0.2512,0.1954,0.2993,5
hv_expert_logreg,3,0.2817,0.2365,0.3174,5
hv_expert_logreg,5,0.3090,0.2476,0.3507,5
hv_expert_logreg,10,0.3472,0.3299,0.3665,5
hv_expert_logreg,20,0.3826,0.3646,0.3978,5
hv_expert_logreg,50,0.3865,0.3803,0.3928,5
hv_expert_logreg,100,0.3983,0.3972,0.3993,5
hv_expert_logreg,all,0.4610,0.4595,0.4635,4
hv_expert_rf,1,0.2040,0.1599,0.2406,5
hv_expert_rf,2,0.2539,0.1957,0.3020,5
hv_expert_rf,3,0.2861,0.2535,0.3153,5
hv_expert_rf,5,0.3040,0.2695,0.3365,5
hv_expert_rf,10,0.3581,0.3415,0.3778,5
hv_expert_rf,20,0.3945,0.3787,0.4103,5
hv_expert_rf,50,0.4071,0.3965,0.4182,5
hv_expert_rf,100,0.4269,0.4217,0.4322,5
hv_expert_rf,all,0.5149,0.5111,0.5196,4
hv_prior_fixed,1,0.2526,0.2526,0.2526,5
hv_prior_fixed,2,0.2526,0.2526,0.2526,5
hv_prior_fixed,3,0.2526,0.2526,0.2526,5
hv_prior_fixed,5,0.2526,0.2526,0.2526,5
hv_prior_fixed,10,0.2526,0.2526,0.2526,5
hv_prior_fixed,20,0.2526,0.2526,0.2526,5
hv_prior_fixed,50,0.2526,0.2526,0.2526,5
hv_prior_fixed,100,0.2526,0.2526,0.2526,5
hv_prior_fixed,all,0.2526,0.2526,0.2526,4
hv_prior_reweight,1,0.2405,0.2093,0.2693,5
hv_prior_reweight,2,0.2845,0.2126,0.3563,5
hv_prior_reweight,3,0.2773,0.2067,0.3297,5
hv_prior_reweight,5,0.3182,0.2802,0.3516,5
hv_prior_reweight,10,0.3706,0.3391,0.4020,5
hv_prior_reweight,20,0.3804,0.3495,0.4046,5
hv_prior_reweight,50,0.4022,0.3966,0.4108,5
hv_prior_reweight,100,0.4043,0.3983,0.4102,5
hv_prior_reweight,all,0.4402,0.4402,0.4402,4
tfidf_char+logreg,1,0.1053,0.0886,0.1221,5
tfidf_char+logreg,2,0.1176,0.1035,0.1317,5
tfidf_char+logreg,3,0.1377,0.1292,0.1511,5
tfidf_char+logreg,5,0.1624,0.1473,0.1777,5
tfidf_char+logreg,10,0.1925,0.1743,0.2042,5
tfidf_char+logreg,20,0.2262,0.2168,0.2359,5
tfidf_char+logreg,50,0.2805,0.2696,0.2939,5
tfidf_char+logreg,100,0.3201,0.3124,0.3278,5
tfidf_char+logreg,all,0.5043,0.5038,0.5048,5
tfidf_word+char+logreg,1,0.1093,0.0904,0.1283,5
tfidf_word+char+logreg,2,0.1112,0.0979,0.1222,5
tfidf_word+char+logreg,3,0.1361,0.1301,0.1424,5
tfidf_word+char+logreg,5,0.1573,0.1435,0.1714,5
tfidf_word+char+logreg,10,0.1862,0.1694,0.1981,5
tfidf_word+char+logreg,20,0.2153,0.2050,0.2275,5
tfidf_word+char+logreg,50,0.2737,0.2655,0.2850,5
tfidf_word+char+logreg,100,0.3173,0.3085,0.3274,5
tfidf_word+char+logreg,all,0.5148,0.5142,0.5153,4
tfidf_word+logreg,1,0.1190,0.0946,0.1472,5
tfidf_word+logreg,2,0.1173,0.1081,0.1249,5
tfidf_word+logreg,3,0.1288,0.1203,0.1361,5
tfidf_word+logreg,5,0.1447,0.1323,0.1572,5
tfidf_word+logreg,10,0.1694,0.1577,0.1787,5
tfidf_word+logreg,20,0.1951,0.1810,0.2081,5
tfidf_word+logreg,50,0.2390,0.2268,0.2517,5
tfidf_word+logreg,100,0.2754,0.2590,0.2890,5
tfidf_word+logreg,all,0.4295,0.4288,0.4304,5
zeroshot_nli,1,0.2807,0.2807,0.2807,5
zeroshot_nli,2,0.2807,0.2807,0.2807,5
zeroshot_nli,3,0.2807,0.2807,0.2807,5
zeroshot_nli,5,0.2807,0.2807,0.2807,5
zeroshot_nli,10,0.2807,0.2807,0.2807,5
zeroshot_nli,20,0.2807,0.2807,0.2807,5
zeroshot_nli,50,0.2807,0.2807,0.2807,5
zeroshot_nli,100,0.2807,0.2807,0.2807,5
zeroshot_nli,all,0.2807,0.2807,0.2807,4
