system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.4858,0.4683,0.4963,5
emb:all-MiniLM-L6-v2+logreg,2,0.5300,0.5041,0.5688,5
emb:all-MiniLM-L6-v2+logreg,3,0.5686,0.5401,0.5883,5
emb:all-MiniLM-L6-v2+logreg,5,0.5812,0.5489,0.6183,5
emb:all-MiniLM-L6-v2+logreg,10,0.6374,0.6023,0.6725,5
emb:all-MiniLM-L6-v2+logreg,20,0.6619,0.6502,0.6732,5
emb:all-MiniLM-L6-v2+logreg,50,0.7211,0.7046,0.7356,5
emb:all-MiniLM-L6-v2+logreg,100,0.7067,0.6878,0.7234,5
emb:all-MiniLM-L6-v2+logreg,all,0.8154,0.8154,0.8154,1
hv_expert_logreg,1,0.9500,0.9491,0.9509,5
hv_expert_logreg,2,0.9502,0.9482,0.9516,5
hv_expert_logreg,3,0.9498,0.9470,0.9521,5
hv_expert_logreg,5,0.9502,0.9498,0.9507,5
hv_expert_logreg,10,0.9500,0.9479,0.9514,5
hv_expert_logreg,20,0.9521,0.9509,0.9534,5
hv_expert_logreg,50,0.9516,0.9498,0.9534,5
hv_expert_logreg,100,0.9523,0.9511,0.9539,5
hv_expert_logreg,all,0.9518,0.9518,0.9518,1
hv_expert_rf,1,0.9507,0.9477,0.9528,5
hv_expert_rf,2,0.9505,0.9479,0.9521,5
hv_expert_rf,3,0.9463,0.9374,0.9521,5
hv_expert_rf,5,0.9495,0.9454,0.9518,5
hv_expert_rf,10,0.9452,0.9392,0.9498,5
hv_expert_rf,20,0.9456,0.9390,0.9507,5
hv_expert_rf,50,0.9505,0.9438,0.9555,5
hv_expert_rf,100,0.9475,0.9433,0.9518,5
hv_expert_rf,all,0.9518,0.9518,0.9518,1
hv_prior_fixed,1,0.9530,0.9530,0.9530,5
hv_prior_fixed,2,0.9530,0.9530,0.9530,5
hv_prior_fixed,3,0.9530,0.9530,0.9530,5
hv_prior_fixed,5,0.9530,0.9530,0.9530,5
hv_prior_fixed,10,0.9530,0.9530,0.9530,5
hv_prior_fixed,20,0.9530,0.9530,0.9530,5
hv_prior_fixed,50,0.9530,0.9530,0.9530,5
hv_prior_fixed,100,0.9530,0.9530,0.9530,5
hv_prior_fixed,all,0.9530,0.9530,0.9530,1
hv_prior_reweight,1,0.9482,0.9445,0.9518,5
hv_prior_reweight,2,0.9401,0.9303,0.9475,5
hv_prior_reweight,3,0.9420,0.9369,0.9470,5
hv_prior_reweight,5,0.9443,0.9394,0.9489,5
hv_prior_reweight,10,0.9429,0.9392,0.9472,5
hv_prior_reweight,20,0.9420,0.9365,0.9489,5
hv_prior_reweight,50,0.9424,0.9408,0.9450,5
hv_prior_reweight,100,0.9452,0.9415,0.9498,5
hv_prior_reweight,all,0.9415,0.9415,0.9415,1
tfidf_char+logreg,1,0.5014,0.4911,0.5085,5
tfidf_char+logreg,2,0.5149,0.5011,0.5266,5
tfidf_char+logreg,3,0.5172,0.5055,0.5289,5
tfidf_char+logreg,5,0.5321,0.5183,0.5454,5
tfidf_char+logreg,10,0.5548,0.5429,0.5670,5
tfidf_char+logreg,20,0.5695,0.5571,0.5819,5
tfidf_char+logreg,50,0.6014,0.5858,0.6170,5
tfidf_char+logreg,100,0.6248,0.6151,0.6378,5
tfidf_char+logreg,all,0.8096,0.8096,0.8096,2
tfidf_word+char+logreg,1,0.4924,0.4706,0.5092,5
tfidf_word+char+logreg,2,0.5112,0.5044,0.5188,5
tfidf_word+char+logreg,3,0.5177,0.5092,0.5287,5
tfidf_word+char+logreg,5,0.5167,0.5041,0.5294,5
tfidf_word+char+logreg,10,0.5491,0.5413,0.5567,5
tfidf_word+char+logreg,20,0.5608,0.5502,0.5713,5
tfidf_word+char+logreg,50,0.6048,0.5904,0.6197,5
tfidf_word+char+logreg,100,0.6303,0.6206,0.6461,5
tfidf_word+char+logreg,all,0.8257,0.8257,0.8257,1
tfidf_word+logreg,1,0.5064,0.4954,0.5174,5
tfidf_word+logreg,2,0.5190,0.5064,0.5314,5
tfidf_word+logreg,3,0.5266,0.5138,0.5390,5
tfidf_word+logreg,5,0.5128,0.5028,0.5229,5
tfidf_word+logreg,10,0.5333,0.5197,0.5459,5
tfidf_word+logreg,20,0.5511,0.5415,0.5624,5
tfidf_word+logreg,50,0.5794,0.5679,0.5881,5
tfidf_word+logreg,100,0.6023,0.5839,0.6222,5
tfidf_word+logreg,all,0.8050,0.8050,0.8050,2
zeroshot_nli,1,0.9472,0.9472,0.9472,5
zeroshot_nli,2,0.9472,0.9472,0.9472,5
zeroshot_nli,3,0.9472,0.9472,0.9472,5
zeroshot_nli,5,0.9472,0.9472,0.9472,5
zeroshot_nli,10,0.9472,0.9472,0.9472,5
zeroshot_nli,20,0.9472,0.9472,0.9472,5
zeroshot_nli,50,0.9472,0.9472,0.9472,5
zeroshot_nli,100,0.9472,0.9472,0.9472,5
zeroshot_nli,all,0.9472,0.9472,0.9472,1
