system,shots,mean,lo,hi,n
emb:all-MiniLM-L6-v2+logreg,1,0.4533,0.4197,0.4865,5
emb:all-MiniLM-L6-v2+logreg,2,0.5161,0.4788,0.5624,5
emb:all-MiniLM-L6-v2+logreg,3,0.5655,0.5377,0.5857,5
emb:all-MiniLM-L6-v2+logreg,5,0.5650,0.5276,0.6144,5
emb:all-MiniLM-L6-v2+logreg,10,0.6292,0.5816,0.6699,5
emb:all-MiniLM-L6-v2+logreg,20,0.6584,0.6467,0.6699,5
emb:all-MiniLM-L6-v2+logreg,50,0.7209,0.7043,0.7356,5
emb:all-MiniLM-L6-v2+logreg,100,0.7062,0.6874,0.7229,5
emb:all-MiniLM-L6-v2+logreg,all,0.8153,0.8153,0.8153,1
hv_expert_logreg,1,0.9500,0.9491,0.9509,5
hv_expert_logreg,2,0.9502,0.9482,0.9516,5
hv_expert_logreg,3,0.9498,0.9470,0.9521,5
hv_expert_logreg,5,0.9502,0.9498,0.9507,5
hv_expert_logreg,10,0.9500,0.9479,0.9514,5
hv_expert_logreg,20,0.9521,0.9509,0.9534,5
hv_expert_logreg,50,0.9516,0.9498,0.9534,5
hv_expert_logreg,100,0.9523,0.9511,0.9539,5
hv_expert_logreg,all,0.9518,0.9518,0.9518,1
hv_expert_rf,1,0.9507,0.9477,0.9527,5
hv_expert_rf,2,0.9505,0.9479,0.9521,5
hv_expert_rf,3,0.9463,0.9373,0.9521,5
hv_expert_rf,5,0.9495,0.9454,0.9518,5
hv_expert_rf,10,0.9452,0.9392,0.9498,5
hv_expert_rf,20,0.9456,0.9390,0.9507,5
hv_expert_rf,50,0.9504,0.9438,0.9555,5
hv_expert_rf,100,0.9474,0.9433,0.9518,5
hv_expert_rf,all,0.9518,0.9518,0.9518,1
hv_prior_fixed,1,0.9530,0.9530,0.9530,5
hv_prior_fixed,2,0.9530,0.9530,0.9530,5
hv_prior_fixed,3,0.9530,0.9530,0.9530,5
hv_prior_fixed,5,0.9530,0.9530,0.9530,5
hv_prior_fixed,10,0.9530,0.9530,0.9530,5
hv_prior_fixed,20,0.9530,0.9530,0.9530,5
hv_prior_fixed,50,0.9530,0.9530,0.9530,5
hv_prior_fixed,100,0.9530,0.9530,0.9530,5
hv_prior_fixed,all,0.9530,0.9530,0.9530,1
hv_prior_reweight,1,0.9481,0.9444,0.9518,5
hv_prior_reweight,2,0.9401,0.9302,0.9475,5
hv_prior_reweight,3,0.9420,0.9369,0.9470,5
hv_prior_reweight,5,0.9443,0.9394,0.9489,5
hv_prior_reweight,10,0.9429,0.9392,0.9472,5
hv_prior_reweight,20,0.9420,0.9365,0.9489,5
hv_prior_reweight,50,0.9424,0.9408,0.9450,5
hv_prior_reweight,100,0.9452,0.9415,0.9498,5
hv_prior_reweight,all,0.9415,0.9415,0.9415,1
tfidf_char+logreg,1,0.4334,0.3852,0.4816,5
tfidf_char+logreg,2,0.4384,0.4136,0.4632,5
tfidf_char+logreg,3,0.4728,0.4271,0.5113,5
tfidf_char+logreg,5,0.5004,0.4611,0.5332,5
tfidf_char+logreg,10,0.5216,0.4889,0.5501,5
tfidf_char+logreg,20,0.5519,0.5292,0.5734,5
tfidf_char+logreg,50,0.5964,0.5813,0.6129,5
tfidf_char+logreg,100,0.6214,0.6099,0.6359,5
tfidf_char+logreg,all,0.8094,0.8094,0.8094,2
tfidf_word+char+logreg,1,0.4229,0.3802,0.4627,5
tfidf_word+char+logreg,2,0.4483,0.4180,0.4785,5
tfidf_word+char+logreg,3,0.4614,0.4234,0.4994,5
tfidf_word+char+logreg,5,0.4702,0.4281,0.5123,5
tfidf_word+char+logreg,10,0.5183,0.4905,0.5438,5
tfidf_word+char+logreg,20,0.5436,0.5310,0.5570,5
tfidf_word+char+logreg,50,0.6026,0.5878,0.6175,5
tfidf_word+char+logreg,100,0.6278,0.6161,0.6453,5
tfidf_word+char+logreg,all,0.8251,0.8251,0.8251,1
tfidf_word+logreg,1,0.4384,0.3767,0.4869,5
tfidf_word+logreg,2,0.4590,0.4032,0.5009,5
tfidf_word+logreg,3,0.4517,0.4124,0.4938,5
tfidf_word+logreg,5,0.4614,0.4126,0.5001,5
tfidf_word+logreg,10,0.5105,0.4978,0.5223,5
tfidf_word+logreg,20,0.5359,0.5259,0.5458,5
tfidf_word+logreg,50,0.5784,0.5672,0.5871,5
tfidf_word+logreg,100,0.5995,0.5824,0.6215,5
tfidf_word+logreg,all,0.8043,0.8043,0.8043,2
zeroshot_nli,1,0.9472,0.9472,0.9472,5
zeroshot_nli,2,0.9472,0.9472,0.9472,5
zeroshot_nli,3,0.9472,0.9472,0.9472,5
zeroshot_nli,5,0.9472,0.9472,0.9472,5
zeroshot_nli,10,0.9472,0.9472,0.9472,5
zeroshot_nli,20,0.9472,0.9472,0.9472,5
zeroshot_nli,50,0.9472,0.9472,0.9472,5
zeroshot_nli,100,0.9472,0.9472,0.9472,5
zeroshot_nli,all,0.9472,0.9472,0.9472,1
